variant,trial_id,observed_rate,prior_mean,abs_error,coverage_95,interval_width
No Robustness (w0=0),ifm201804_dakrd,0.62,0.6279862489783203,0.007986248978320343,1,0.48757701367139816
No Robustness (w0=0),iskia_isakrd,0.7880794701986755,0.5805625598012495,0.20751691039742604,0,0.4668896049261093
No Robustness (w0=0),iskia_krd,0.6291390728476821,0.5091446157384847,0.11999445710919743,1,0.5315106734633446
No Robustness (w0=0),maia_drd,0.3206521739130434,0.4223498331307898,0.10169765921774637,1,0.6463515236973763
No Robustness (w0=0),maia_rd,0.1111111111111111,0.36025674991040624,0.24914563879929513,1,0.5801461711525917
No Robustness (w0=0),manhattan,0.7073170731707317,0.5527649226837634,0.15455215048696824,1,0.6711868867278099
No Robustness (w0=0),master,0.7073170731707317,0.6048721053320532,0.10244496783867851,1,0.48660190403461456
No Robustness (w0=0),midas_isakrd,0.629582806573957,0.569218769947009,0.060364036626948,1,0.7228776589035988
No Robustness (w0=0),perseus_dvrd,0.7492957746478873,0.572092059912698,0.17720371473518937,1,0.47981978207826614
No Robustness (w0=0),perseus_vrd,0.480225988700565,0.4853955462816315,0.0051695575810665195,1,0.5054965913295746
No Cap (n_cap=inf),advance_dakrd,0.5878378378378378,0.598933927606381,0.01109608976854315,1,0.7596394717693329
No Cap (n_cap=inf),advance_krd,0.3309352517985611,0.5548931857007513,0.2239579339021902,1,0.7769338712096214
No Cap (n_cap=inf),alcyone_dvmp,0.28,0.2403496063432634,0.039650393656736616,1,0.8268943056464195
No Cap (n_cap=inf),alcyone_vmp,0.0702247191011236,0.3407690251333283,0.2705443060322047,0,0.7845786511898041
No Cap (n_cap=inf),benefit_isard,0.2592592592592592,0.422328908974698,0.1630696497154388,1,0.7947267144918442
No Cap (n_cap=inf),benefit_isavrd,0.5333333333333333,0.4414426948230772,0.09189063851025614,1,0.8083954975008965
No Cap (n_cap=inf),cassiopeia_dvtd,0.6390423572744015,0.5679605034895387,0.07108185378486276,1,0.7561620250344276
No Cap (n_cap=inf),cassiopeia_vtd,0.4391143911439114,0.5116105852207331,0.07249619407682173,1,0.7722313925623894
No Cap (n_cap=inf),cepheus_dvrd,0.6091370558375635,0.44788841965906967,0.16124863617849383,1,0.8077149465680122
No Cap (n_cap=inf),cepheus_vrd,0.3888888888888889,0.39346503497513763,0.0045761460862487335,1,0.8168756291270256
No Cap (n_cap=inf),derman_dakrd,0.6190476190476191,0.5516680468943184,0.0673795721533007,1,0.80356265604496
No Cap (n_cap=inf),determination_vrd,0.3977591036414565,0.453060884983717,0.05530178134226049,1,0.8129510134458542
No Cap (n_cap=inf),determination_vrd_asct,0.5452054794520548,0.47846010139894246,0.06674537805311231,1,0.7853861376643181
No Cap (n_cap=inf),elokrd,0.5777777777777777,0.4406109816179135,0.1371667961598642,1,0.8108748570084572
No Cap (n_cap=inf),endurance_krd,0.1026615969581749,0.4717314249890615,0.3690698280308866,1,0.8157299309968948
No Cap (n_cap=inf),endurance_vrd,0.0721062618595825,0.4310852843199429,0.3589790224603604,0,0.7899450361728668
No Cap (n_cap=inf),forte_krd12,0.5569620253164557,0.46309570596158356,0.09386631935487211,1,0.8025508001446724
No Cap (n_cap=inf),forte_krd_asct,0.5822784810126582,0.5129487129061973,0.06932976810646096,1,0.7758066430687904
No Cap (n_cap=inf),gmmg_concept_isakrd,0.6767676767676768,0.6158390184920732,0.060928658275603564,1,0.7561920061707497
No Cap (n_cap=inf),gmmghd7_isavrd,0.5,0.5614115289558774,0.061411528955877426,1,0.7649974972009659
No Cap (n_cap=inf),gmmghd7_vrd,0.3606060606060606,0.5037730454010214,0.14316698479496082,1,0.7841259315609932
No Cap (n_cap=inf),griffin_dvrd,0.6442307692307693,0.5780954877868296,0.06613528144393965,1,0.7614980190992355
No Cap (n_cap=inf),griffin_vrd,0.3009708737864077,0.5095831942181153,0.20861232043170758,1,0.7869205921888351
No Cap (n_cap=inf),ifm2009_vrd_asct,0.6285714285714286,0.47082753430434854,0.15774389426708002,1,0.7841218858957291
No Cap (n_cap=inf),ifm2009_vrd_noasct,0.4885714285714285,0.43448785486908253,0.054083573702345955,1,0.8126340135931969
No Cap (n_cap=inf),ifm201804_dakrd,0.62,0.6025650229278384,0.017434977072161573,1,0.7573576495051384
No Cap (n_cap=inf),iskia_isakrd,0.7880794701986755,0.5646117169900853,0.22346775320859025,1,0.7612834200263023
No Cap (n_cap=inf),iskia_krd,0.6291390728476821,0.5073129700023278,0.12182610284535433,1,0.775559276342392
No Cap (n_cap=inf),maia_drd,0.3206521739130434,0.43757311824570216,0.11692094433265876,1,0.7941884696483612
No Cap (n_cap=inf),maia_rd,0.1111111111111111,0.387751757291651,0.2766406461805399,1,0.8082382082939148
No Cap (n_cap=inf),manhattan,0.7073170731707317,0.5421213057583274,0.16519576741240427,1,0.7981221824884415
No Cap (n_cap=inf),master,0.7073170731707317,0.5840529190290897,0.12326415414164194,1,0.757347546517849
No Cap (n_cap=inf),midas_isakrd,0.629582806573957,0.5553152860639148,0.07426752051004226,1,0.7938107773661613
No Cap (n_cap=inf),perseus_dvrd,0.7492957746478873,0.5577767690260828,0.19151900562180457,1,0.7602129206061363
No Cap (n_cap=inf),perseus_vrd,0.480225988700565,0.48831953588539395,0.008093547184828964,1,0.7849928811192513
Drug-Only Sim,advance_dakrd,0.5878378378378378,0.6224258638384121,0.03458802600057431,1,0.7602020725607872
Drug-Only Sim,advance_krd,0.3309352517985611,0.4784696932973451,0.14753444149878403,1,0.8012697175145149
Drug-Only Sim,alcyone_dvmp,0.28,0.1595936827091869,0.12040631729081314,1,0.8334400355815887
Drug-Only Sim,alcyone_vmp,0.0702247191011236,0.3257425770411443,0.2555178579400207,0,0.7500000149011612
Drug-Only Sim,benefit_isard,0.2592592592592592,0.5845299528974572,0.32527069363819805,1,0.7796245068311691
Drug-Only Sim,benefit_isavrd,0.5333333333333333,0.49033884524890026,0.04299448808443307,1,0.7859727889299393
Drug-Only Sim,cassiopeia_dvtd,0.6390423572744015,0.4689833210354478,0.1700590362389537,1,0.7502873912453651
Drug-Only Sim,cassiopeia_vtd,0.4391143911439114,0.6064256090396019,0.16731121789569048,1,0.7587158903479576
Drug-Only Sim,cepheus_dvrd,0.6091370558375635,0.6404741327309478,0.031337076893384275,1,0.7727650478482246
Drug-Only Sim,cepheus_vrd,0.3888888888888889,0.42953054487607967,0.04064165598719077,1,0.8185519427061081
Drug-Only Sim,derman_dakrd,0.6190476190476191,0.6171422379991625,0.0019053810484566114,1,0.7601963579654694
Drug-Only Sim,determination_vrd,0.3977591036414565,0.4286609448815893,0.030901841240132788,1,0.8185519427061081
Drug-Only Sim,determination_vrd_asct,0.5452054794520548,0.414187768724973,0.1310177107270818,1,0.8185519427061081
Drug-Only Sim,elokrd,0.5777777777777777,0.4621179536846346,0.11565982409314313,1,0.7994507327675819
Drug-Only Sim,endurance_krd,0.1026615969581749,0.5224655059416531,0.4198039089834782,0,0.7515354305505753
Drug-Only Sim,endurance_vrd,0.0721062618595825,0.4606266742465899,0.3885204123870074,0,0.7507787644863129
Drug-Only Sim,forte_krd12,0.5569620253164557,0.43521530633731437,0.1217467189791413,1,0.8012697175145149
Drug-Only Sim,forte_krd_asct,0.5822784810126582,0.4303643470520773,0.1519141339605809,1,0.8012697175145149
Drug-Only Sim,gmmg_concept_isakrd,0.6767676767676768,0.6558071683198837,0.02096050844779307,1,0.766626700758934
Drug-Only Sim,gmmghd7_isavrd,0.5,0.5134602754333749,0.013460275433374913,1,0.7859727889299393
Drug-Only Sim,gmmghd7_vrd,0.3606060606060606,0.43230784724625887,0.07170178664019827,1,0.8185519427061081
Drug-Only Sim,griffin_dvrd,0.6442307692307693,0.6279472521580386,0.01628351707273068,1,0.7727650478482246
Drug-Only Sim,griffin_vrd,0.3009708737864077,0.43798109254442175,0.13701021875801406,1,0.8185519427061081
Drug-Only Sim,ifm2009_vrd_asct,0.6285714285714286,0.4060046576757187,0.22256677089570986,1,0.8185519427061081
Drug-Only Sim,ifm2009_vrd_noasct,0.4885714285714285,0.41974690566782324,0.06882452290360525,1,0.8185519427061081
Drug-Only Sim,ifm201804_dakrd,0.62,0.6167997384849502,0.003200261515049818,1,0.7602010369300842
Drug-Only Sim,iskia_isakrd,0.7880794701986755,0.613178658999371,0.17490081119930456,1,0.765025183558464
Drug-Only Sim,iskia_krd,0.6291390728476821,0.4213995840592617,0.2077394887884204,1,0.8012697175145149
Drug-Only Sim,maia_drd,0.3206521739130434,0.6116202061645203,0.2909680322514769,1,0.7749095484614372
Drug-Only Sim,maia_rd,0.1111111111111111,0.4253029281460009,0.3141918170348898,1,0.8123684003949165
Drug-Only Sim,manhattan,0.7073170731707317,0.600678366002023,0.10663870716870871,1,0.7589948400855064
Drug-Only Sim,master,0.7073170731707317,0.5994391231085527,0.10787795006217893,1,0.7602018862962723
Drug-Only Sim,midas_isakrd,0.629582806573957,0.6730693064172532,0.04348649984329611,1,0.7666267976164818
Drug-Only Sim,perseus_dvrd,0.7492957746478873,0.5885287559904436,0.1607670186574437,1,0.7727641761302948
Drug-Only Sim,perseus_vrd,0.480225988700565,0.42056608498431314,0.05965990371625185,1,0.8185519427061081
Pop-Only Sim,advance_dakrd,0.5878378378378378,0.5401384015067191,0.04769943633111873,1,0.7536271139979362
Pop-Only Sim,advance_krd,0.3309352517985611,0.5534160681393604,0.2224808163407993,1,0.7536283805966377
Pop-Only Sim,alcyone_dvmp,0.28,0.37009532756702,0.09009532756701999,1,0.8216095641255379
Pop-Only Sim,alcyone_vmp,0.0702247191011236,0.3907722389926319,0.3205475198915083,0,0.7999619022011757
Pop-Only Sim,benefit_isard,0.2592592592592592,0.3750736858861492,0.11581442662689001,1,0.8212603181600571
Pop-Only Sim,benefit_isavrd,0.5333333333333333,0.34911616237521603,0.1842171709581173,1,0.8209720999002457
Pop-Only Sim,cassiopeia_dvtd,0.6390423572744015,0.5384175255393377,0.10062483173506376,1,0.7536963596940041
Pop-Only Sim,cassiopeia_vtd,0.4391143911439114,0.5498155914365939,0.11070120029268249,1,0.7536963596940041
Pop-Only Sim,cepheus_dvrd,0.6091370558375635,0.33968222540295556,0.26945483043460794,1,0.8208436295390129
Pop-Only Sim,cepheus_vrd,0.3888888888888889,0.3596990776035765,0.029189811285312395,1,0.8211448043584824
Pop-Only Sim,derman_dakrd,0.6190476190476191,0.39895113442958574,0.22009648461803333,1,0.8221120908856392
Pop-Only Sim,determination_vrd,0.3977591036414565,0.5201057435795178,0.12234663993806127,1,0.8066166564822197
Pop-Only Sim,determination_vrd_asct,0.5452054794520548,0.5443527330853171,0.0008527463667377111,1,0.7533306032419205
Pop-Only Sim,elokrd,0.5777777777777777,0.4621176739081614,0.11566010386961634,1,0.8202604278922081
Pop-Only Sim,endurance_krd,0.1026615969581749,0.39513903355287455,0.29247743659469966,1,0.8263315707445145
Pop-Only Sim,endurance_vrd,0.0721062618595825,0.40226883333234054,0.33016257147275807,1,0.8108327686786652
Pop-Only Sim,forte_krd12,0.5569620253164557,0.4949139047598861,0.06204812055656955,1,0.8059093356132507
Pop-Only Sim,forte_krd_asct,0.5822784810126582,0.543422989966422,0.0388554910462362,1,0.7531342953443527
Pop-Only Sim,gmmg_concept_isakrd,0.6767676767676768,0.5552989454543101,0.12146873131336666,1,0.7509072795510292
Pop-Only Sim,gmmghd7_isavrd,0.5,0.5455595787420364,0.04555957874203642,1,0.7536109909415245
Pop-Only Sim,gmmghd7_vrd,0.3606060606060606,0.5532599859320062,0.1926539253259456,1,0.753199964761734
Pop-Only Sim,griffin_dvrd,0.6442307692307693,0.5379442316753781,0.10628653755539119,1,0.7539157196879387
Pop-Only Sim,griffin_vrd,0.3009708737864077,0.5554106335624494,0.25443975977604166,1,0.7537472546100616
Pop-Only Sim,ifm2009_vrd_asct,0.6285714285714286,0.5429649363597642,0.08560649221166439,1,0.7532802596688271
Pop-Only Sim,ifm2009_vrd_noasct,0.4885714285714285,0.5069839534618237,0.018412524890395188,1,0.8065957576036453
Pop-Only Sim,ifm201804_dakrd,0.62,0.5509282579514748,0.06907174204852518,1,0.7526325508952141
Pop-Only Sim,iskia_isakrd,0.7880794701986755,0.5369991503956557,0.2510803198030198,1,0.7528699859976768
Pop-Only Sim,iskia_krd,0.6291390728476821,0.5450390519745343,0.08410002087314783,1,0.7530137300491333
Pop-Only Sim,maia_drd,0.3206521739130434,0.36896122844586166,0.04830905453281825,1,0.820881262421608
Pop-Only Sim,maia_rd,0.1111111111111111,0.38868093827033506,0.27756982715922396,1,0.8211761489510536
Pop-Only Sim,manhattan,0.7073170731707317,0.4410772341007593,0.2662398390699724,1,0.8187716156244278
Pop-Only Sim,master,0.7073170731707317,0.5453229692110932,0.16199410395963842,1,0.7526470124721527
Pop-Only Sim,midas_isakrd,0.629582806573957,0.48492992497201304,0.144652881601944,1,0.8061375245451927
Pop-Only Sim,perseus_dvrd,0.7492957746478873,0.5365434145430799,0.21275236010480747,1,0.7533137053251266
Pop-Only Sim,perseus_vrd,0.480225988700565,0.5475491388365784,0.06732315013601342,1,0.7534538507461548
Diffusion Kernel,advance_dakrd,0.5878378378378378,0.4914717872417741,0.09636605059606373,1,0.8112397715449333
Diffusion Kernel,advance_krd,0.3309352517985611,0.49592660784336196,0.16499135604480086,1,0.8114515095949173
Diffusion Kernel,alcyone_dvmp,0.28,0.4878986331968614,0.20789863319686136,1,0.8137210011482239
Diffusion Kernel,alcyone_vmp,0.0702247191011236,0.49173210844282444,0.42150738934170084,1,0.8051749989390373
