scenario,trial_id,observed_rate,prior_mean,abs_error,coverage_95,interval_width
+10 Adj +10 For,gmmg_concept_isakrd,0.6767676767676768,0.6157703154400288,0.06099736132764799,1,0.7555684372782707
+10 Adj +10 For,gmmghd7_isavrd,0.5,0.5612939479471929,0.061293947947192895,1,0.7642652094364166
+10 Adj +10 For,gmmghd7_vrd,0.3606060606060606,0.5036990854908405,0.14309302488477993,1,0.7812978699803352
+10 Adj +10 For,griffin_dvrd,0.6442307692307693,0.5778310945507157,0.06639967468005359,1,0.7609638720750809
+10 Adj +10 For,griffin_vrd,0.3009708737864077,0.5095834702590485,0.2086125964726408,1,0.7838425040245056
+10 Adj +10 For,ifm2009_vrd_asct,0.6285714285714286,0.47089071865627163,0.15768070991515692,1,0.781297355890274
+10 Adj +10 For,ifm2009_vrd_noasct,0.4885714285714285,0.43480896001074526,0.05376246856068323,1,0.8166147693991661
+10 Adj +10 For,ifm201804_dakrd,0.62,0.6024912729397086,0.017508727060291385,1,0.756525807082653
+10 Adj +10 For,iskia_isakrd,0.7880794701986755,0.5645142890988492,0.22356518109982637,1,0.7600730285048485
+10 Adj +10 For,iskia_krd,0.6291390728476821,0.5073228763293489,0.1218161965183332,1,0.7756435200572014
+10 Adj +10 For,maia_drd,0.3206521739130434,0.4378171257920084,0.11716495187896497,1,0.7978624776005745
+10 Adj +10 For,maia_rd,0.1111111111111111,0.38809290051140044,0.27698178940028934,1,0.8104042187333107
+10 Adj +10 For,manhattan,0.7073170731707317,0.5422537083422042,0.16506336482852746,1,0.8003572821617126
