trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
benefit_isavrd,0.5333333333333333,135,72,0.4726026730929135,0.06073066024041984,1,0.10427635535597801,0.88328031077981,0.7790039554238319,-4.307957523884184,5.5337778110492515,rMAP
cassiopeia_dvtd,0.6390423572744015,543,347,0.5,0.1390423572744015,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-6.298949246855841,2.000000000000001,Uniform
cassiopeia_dvtd,0.6390423572744015,543,347,0.4270939879531765,0.21194836932122502,0,0.4167749471962452,0.43744442239403725,0.020669475197792053,-49.76249992958219,8798.999999998012,Pooled
cassiopeia_dvtd,0.6390423572744015,543,347,0.4830912543462912,0.15595110292811032,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.538350037973552,4.179369590084518,EqualWeight
cassiopeia_dvtd,0.6390423572744015,543,347,0.47021035476150097,0.16883200251290054,1,0.10340235009789467,0.8830033726990223,0.7796010226011276,-6.01216041829651,5.515775556042708,rMAP
cassiopeia_vtd,0.4391143911439114,542,238,0.5,0.060885608856088624,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-6.297109319933497,2.000000000000001,Uniform
cassiopeia_vtd,0.4391143911439114,542,238,0.4394318181818182,0.0003174270379068256,1,0.4290759898722172,0.44981372728943825,0.02073773741722107,-3.396411127920146,8799.999999998612,Pooled
cassiopeia_vtd,0.4391143911439114,542,238,0.4877488656714045,0.04863447452749314,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-6.376464442185734,4.129579229295327,EqualWeight
cassiopeia_vtd,0.4391143911439114,542,238,0.4747833723053664,0.035668981161455005,1,0.10243004187941551,0.8853136785328388,0.7828836366534233,-5.639022645120905,5.373329070515026,rMAP
cepheus_dvrd,0.6091370558375635,197,120,0.5,0.1091370558375635,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.288267030694499,2.000000000000001,Uniform
cepheus_dvrd,0.6091370558375635,197,120,0.43575724439584473,0.17337981144171877,0,0.4256085939705372,0.4459325112402439,0.020323917269706726,-14.528264666956602,9144.999999997359,Pooled
cepheus_dvrd,0.6091370558375635,197,120,0.4837883249172714,0.12534873092029208,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-4.515963557772249,4.159184885821026,EqualWeight
cepheus_dvrd,0.6091370558375635,197,120,0.4709408118892743,0.13819624394828922,1,0.10388721898198128,0.8829539902508259,0.7790667712688446,-4.880652306663018,5.535923074801083,rMAP
cepheus_vrd,0.3888888888888889,198,77,0.5,0.1111111111111111,1,0.02500000223517418,0.9749999977648258,0.9499999955296516,-5.293304824724373,2.000000000000001,Uniform
cepheus_vrd,0.3888888888888889,198,77,0.4405074365704287,0.051618547681539784,0,0.430345106869936,0.45069441571831703,0.020349308848381042,-3.914993884546675,9144.000000000033,Pooled
cepheus_vrd,0.3888888888888889,198,77,0.4889186825879779,0.10002979369908899,1,0.0626244954764843,0.8752748109400272,0.8126503154635429,-5.2800810940691285,4.148234655782231,EqualWeight
cepheus_vrd,0.3888888888888889,198,77,0.4756874136557777,0.08679852476688882,1,0.10496819391846657,0.8839222602546215,0.7789540663361549,-4.674781545889205,5.527795128077612,rMAP
