method,trial_id,arm_idx,p_true,p_pred,p_lo,p_hi,se,ae,covered,crps,ci_width,theta_mean,theta_sd
rMAP,advance_dakrd,0,0.5878378378378378,0.456563167822031,0.07716331578368309,0.8689122984918339,0.017233038987758974,0.13127467001580684,1,0.08485793328993951,0.7917489827081509,-0.22922739528498665,1.1246562936841449
rMAP,advance_krd,1,0.3309352517985611,0.47144438597142235,0.08865026741531254,0.8851394539907471,0.019742816786007127,0.14050913417286126,1,0.08440778647188218,0.7964891865754345,-0.14103776177210348,1.1292270639804975
rMAP,alcyone_dvmp,2,0.28,0.4817361450876643,0.10051212825044639,0.884780754770447,0.04069747223483114,0.2017361450876643,1,0.11477287641125927,0.7842686265200006,-0.08366314175719414,1.101933323095302
rMAP,alcyone_vmp,3,0.0702247191011236,0.47519493177364597,0.10077201362084919,0.8862024856710282,0.164000873152028,0.40497021267252237,0,0.2876306051655764,0.785430472050179,-0.11711485617457662,1.0671906235488884
rMAP,benefit_isard,4,0.2592592592592592,0.47506034953909404,0.1017788117904607,0.8773453066996861,0.04657011056596543,0.21580109027983485,1,0.1236088094057845,0.7755664949092255,-0.11987071695969952,1.063274836736526
rMAP,benefit_isavrd,5,0.5333333333333333,0.46718831780062364,0.09353264842325014,0.8962779160094538,0.004375163079822405,0.06614501553270968,1,0.06411003785254563,0.8027452675862037,-0.15407295870248003,1.1273861417420492
rMAP,cassiopeia_dvtd,6,0.6390423572744015,0.4645413133432842,0.08944522375634001,0.8859081434186651,0.030450614333049734,0.17450104393111732,1,0.10720808017922816,0.7964629196623251,-0.17001959379238538,1.1198272536984932
rMAP,cassiopeia_vtd,7,0.4391143911439114,0.4779469096782811,0.10023358889531025,0.8961124733767638,0.001507964495722166,0.0388325185343697,1,0.05965310329488638,0.7958788844814535,-0.10104378966073273,1.1700157692614963
rMAP,cepheus_dvrd,8,0.6091370558375635,0.4696919703092579,0.09165341417270338,0.8768900337457125,0.019444931877996462,0.1394450855283056,1,0.08758787368199716,0.7852366195730092,-0.1555199032011359,1.0984984943760028
rMAP,cepheus_vrd,9,0.3888888888888889,0.4685868549116365,0.08630612974055481,0.8918444258763133,0.006351765788163029,0.07969796602274759,1,0.06534796871129606,0.8055382961357584,-0.15304456436945843,1.1367187139449315
rMAP,derman_dakrd,10,0.6190476190476191,0.4687702288100758,0.08062813374521059,0.8858457052595248,0.022583294016606865,0.15027739023754327,1,0.09303782088132215,0.8052175715143142,-0.16454770552383177,1.1419421262316063
rMAP,determination_vrd,11,0.3977591036414565,0.4776129019919891,0.09355508760968623,0.8865856767161691,0.00637662911100752,0.07985379835053258,1,0.06564754086451707,0.7930305891064828,-0.11406206748873467,1.108491937795991
rMAP,determination_vrd_asct,12,0.5452054794520548,0.46025459125917656,0.08728923114413013,0.8816893642967817,0.007216653404758896,0.08495088819287822,1,0.07000371111066148,0.7944001331526516,-0.19106799620723158,1.0996580204254094
rMAP,elokrd,13,0.5777777777777777,0.4686281232867474,0.08635338573772547,0.8808517470737691,0.011913647075511293,0.10914965449103031,1,0.07944948258505047,0.7944983613360437,-0.1570257837571035,1.1702116775393983
rMAP,endurance_krd,14,0.1026615969581749,0.49325883633708734,0.1109186938244772,0.8956398773914261,0.15256620341042743,0.39059723937891244,0,0.27056528275423863,0.784721183566949,-0.02661917148802432,1.089069883313661
rMAP,endurance_vrd,15,0.0721062618595825,0.48298127609282016,0.10245528338848776,0.877526532629159,0.16881827732116328,0.4108750142332377,0,0.29610207397489385,0.7750712492406713,-0.0868446921480067,1.0376587331910478
rMAP,forte_krd12,16,0.5569620253164557,0.46858643660116384,0.08489619929625215,0.8937013782138405,0.007810244680774417,0.08837558871529183,1,0.07132890378490034,0.8088051789175884,-0.15130860584760894,1.150124554838579
rMAP,forte_krd_asct,17,0.5822784810126582,0.4708501910454177,0.0923000616589733,0.8761973147846798,0.012416263805023435,0.11142828996724052,1,0.07576133517774451,0.7838972531257065,-0.14662645327330617,1.1004392919612291
rMAP,gmmg_concept_isakrd,18,0.6767676767676768,0.46906089021316816,0.09195117227888511,0.8835086608553532,0.04314210918080021,0.20770678655450864,1,0.12452634161838406,0.791557488576468,-0.15433164740108066,1.1283533932120051
rMAP,gmmghd7_isavrd,19,0.5,0.4673980320496641,0.0849606587782658,0.8647592945818557,0.0010628883142347275,0.032601967950335875,1,0.05840835122036886,0.77979863580359,-0.1606776211662855,1.1073218254092405
rMAP,gmmghd7_vrd,20,0.3606060606060606,0.47209046642695845,0.08140547294878371,0.8700891944077361,0.012428772741238645,0.11148440582089786,1,0.07476771942665422,0.7886837214589524,-0.14478902759182266,1.1249710907347332
